	amendment_author	amendment_number	amendment_purpose	amendment_type	bill_congress	bill_number	bill_title	bill_type	category	chamber	congress	date	nomination_number	nomination_title	number	question	record_modified	requires	result	result_text	session	source_url	subject	type	updated_at	vote_id	bias	ideology
13	Rogers of Michigan Amendment No. 1	1.0		h-bill	113.0	624.0		hr	amendment	h	113	2013-04-17T16:56:00-04:00			110	On Agreeing to the Amendment: Amendment 1 to H R 624		1/2	Agreed to	Agreed to	2013	http://clerk.house.gov/evs/2013/roll110.xml		On the Amendment	2014-06-18T11:22:03-04:00	h110-113.2013	4.680743232471414	0.017225693105008013
14	Connolly of Virginia Amendment No. 2	2.0		h-bill	113.0	624.0		hr	amendment	h	113	2013-04-17T17:01:00-04:00			111	On Agreeing to the Amendment: Amendment 2 to H R 624		1/2	Agreed to	Agreed to	2013	http://clerk.house.gov/evs/2013/roll111.xml		On the Amendment	2014-06-18T11:22:03-04:00	h111-113.2013	4.672544809176723	0.008382802401597906
15	Langevin of Rhode Island Amendment No. 4	4.0		h-bill	113.0	624.0		hr	amendment	h	113	2013-04-17T17:07:00-04:00			112	On Agreeing to the Amendment: Amendment 4 to H R 624		1/2	Agreed to	Agreed to	2013	http://clerk.house.gov/evs/2013/roll112.xml		On the Amendment	2014-06-18T11:22:03-04:00	h112-113.2013	4.229662475717145	-0.12791351242274446
16	Sinema of Arizona Amendment No. 7	5.0		h-bill	113.0	624.0		hr	amendment	h	113	2013-04-18T12:13:00-04:00			113	On Agreeing to the Amendment: Amendment 5 to H R 624		1/2	Agreed to	Agreed to	2013	http://clerk.house.gov/evs/2013/roll113.xml		On the Amendment	2014-06-18T11:22:03-04:00	h113-113.2013	4.649919335759972	0.014856727314768775
17	LaMalfa of California Amendment No. 9	7.0		h-bill	113.0	624.0		hr	amendment	h	113	2013-04-18T12:21:00-04:00			114	On Agreeing to the Amendment: Amendment 7 to H R 624		1/2	Agreed to	Agreed to	2013	http://clerk.house.gov/evs/2013/roll114.xml		On the Amendment	2014-06-18T11:22:03-04:00	h114-113.2013	4.678415253588827	0.02244445498877298
18	McCaul of Texas Amendment	11.0		h-bill	113.0	624.0		hr	amendment	h	113	2013-04-18T12:27:00-04:00			115	On Agreeing to the Amendment: Amendment 11 to H R 624		1/2	Agreed to	Agreed to	2013	http://clerk.house.gov/evs/2013/roll115.xml		On the Amendment	2014-06-18T11:22:03-04:00	h115-113.2013	4.016050467129656	-0.16500169952300964
19					113.0	624.0		hr	recommit	h	113	2013-04-18T12:50:00-04:00			116	On Motion to Recommit with Instructions: H R 624 Cyber Intelligence Sharing and Protection Act		1/2	Failed	Failed	2013	http://clerk.house.gov/evs/2013/roll116.xml	Cyber Intelligence Sharing and Protection Act	On the Motion to Recommit	2014-06-18T11:22:03-04:00	h116-113.2013	0.674167490676465	-3.1311994192326575
20					113.0	624.0		hr	passage	h	113	2013-04-18T12:59:00-04:00			117	On Passage: H R 624 Cyber Intelligence Sharing and Protection Act		1/2	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll117.xml	Cyber Intelligence Sharing and Protection Act	On Passage of the Bill	2014-06-18T11:22:03-04:00	h117-113.2013	0.9938769394974609	0.4670033224894962
21					113.0	1067.0		hr	passage-suspension	h	113	2013-04-23T19:00:00-04:00			118	On Motion to Suspend the Rules and Pass: H R 1067 To make revisions in title 36, United States Code, as necessary to keep the title current and make technical corrections and improvements		2/3	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll118.xml	To make revisions in title 36, United States Code, as necessary to keep the title current and make technical corrections and improvements	On Motion to Suspend the Rules and Pass	2014-06-18T11:22:03-04:00	h118-113.2013	4.649870664836772	0.014865212630991971
22					113.0	1068.0		hr	passage-suspension	h	113	2013-04-23T19:08:00-04:00			119	On Motion to Suspend the Rules and Pass, as Amended: H R 1068 To enact title 54, United States Code, “National Park Service and Related Programs”, as positive law		2/3	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll119.xml	To enact title 54, United States Code, “National Park Service and Related Programs”, as positive law	On Motion to Suspend the Rules and Pass, as Amended	2014-06-18T11:22:02-04:00	h119-113.2013	4.679492754470582	0.021970801847736646
23					113.0	23.0		hres	passage	h	113	2013-01-15T14:08:00-05:00			12	On Agreeing to the Resolution: H RES 23 Providing for consideration of the bill (H.R. 152) making supplemental appropriations for the fiscal year ending September 30, 2013, and for other purposes		1/2	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll012.xml	Providing for consideration of the bill (H.R. 152) making supplemental appropriations for the fiscal year ending September 30, 2013, and for other purposes	On the Resolution	2014-06-18T11:22:23-04:00	h12-113.2013	2.5080524833399567	0.5231218846427503
25					113.0	175.0		hres	procedural	h	113	2013-04-24T14:58:00-04:00			121	On Ordering the Previous Question: H RES 175 Providing for consideration of H.R. 1549, Helping Sick Americans Now Act		1/2	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll121.xml	Providing for consideration of H.R. 1549, Helping Sick Americans Now Act	On Ordering the Previous Question	2014-06-18T11:22:02-04:00	h121-113.2013	-0.1978492223457723	3.1568828126959314
26					113.0	175.0		hres	passage	h	113	2013-04-24T15:05:00-04:00			122	On Agreeing to the Resolution: H RES 175 Providing for consideration of H.R. 1549, Helping Sick Americans Now Act		1/2	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll122.xml	Providing for consideration of H.R. 1549, Helping Sick Americans Now Act	On the Resolution	2014-06-18T11:22:02-04:00	h122-113.2013	-0.5586253064693324	2.740402755569848
27					113.0	360.0		hr	passage-suspension	h	113	2013-04-24T15:14:00-04:00			123	On Motion to Suspend the Rules and Pass, as Amended: H R 360 To award posthumously a Congressional Gold Medal to Addie Mae Collins, Denise McNair, Carole Robertson, and Cynthia Wesley to commemorate the lives they lost 50 years ago in the bombing of the 16th Street Baptist Church, where these 4 Black girls’ ultimate sacrifice served as a catalyst for the Civil Rights Movement		2/3	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll123.xml	To award posthumously a Congressional Gold Medal to Addie Mae Collins, Denise McNair, Carole Robertson, and Cynthia Wesley to commemorate the lives they lost 50 years ago in the bombing of the 16th Street Baptist Church, where these 4 Black girls’ ultimate sacrifice served as a catalyst for the Civil Rights Movement	On Motion to Suspend the Rules and Pass, as Amended	2014-06-18T11:22:02-04:00	h123-113.2013	4.6829110841809936	0.020450431032425366
28					113.0	178.0		hres	passage	h	113	2013-04-25T13:56:00-04:00			124	On Agreeing to the Resolution: H RES 178 Providing for consideration of the bill (H.R. 527) to amend the Helium Act to complete the privatization of the Federal helium reserve in a competitive market fashion that ensures stability in the helium markets while protecting the interests of American taxpayers, and for other purposes		1/2	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll124.xml	Providing for consideration of the bill (H.R. 527) to amend the Helium Act to complete the privatization of the Federal helium reserve in a competitive market fashion that ensures stability in the helium markets while protecting the interests of American taxpayers, and for other purposes	On the Resolution	2014-06-18T11:22:02-04:00	h124-113.2013	1.1999843117877402	1.9716805709411067
29					113.0	1765.0		hr	passage-suspension	h	113	2013-04-26T12:13:00-04:00			125	On Motion to Suspend the Rules and Pass: H R 1765 Reducing Flight Delays Act		2/3	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll125.xml	Reducing Flight Delays Act	On Motion to Suspend the Rules and Pass	2014-06-18T11:22:02-04:00	h125-113.2013	2.2848346098287204	0.255504052016156
30	Dent of Pennsylvania Amendment No. 2	2.0		h-bill	113.0	527.0		hr	amendment	h	113	2013-04-26T12:20:00-04:00			126	On Agreeing to the Amendment: Amendment 2 to H R 527		1/2	Failed	Failed	2013	http://clerk.house.gov/evs/2013/roll126.xml		On the Amendment	2014-06-18T11:22:02-04:00	h126-113.2013	-1.2671659199012908	0.0013674811087881853
31					113.0	527.0		hr	recommit	h	113	2013-04-26T12:43:00-04:00			127	On Motion to Recommit with Instructions: H R 527 To amend the Helium Act to complete the privatization of the Federal helium reserve in a competitive market fashion that ensures stability in the helium markets while protecting the interests of American taxpayers, and for other purposes		1/2	Failed	Failed	2013	http://clerk.house.gov/evs/2013/roll127.xml	To amend the Helium Act to complete the privatization of the Federal helium reserve in a competitive market fashion that ensures stability in the helium markets while protecting the interests of American taxpayers, and for other purposes	On the Motion to Recommit	2014-06-18T11:22:02-04:00	h127-113.2013	0.03432224668438511	-2.5158385945379216
32					113.0	527.0		hr	passage	h	113	2013-04-26T12:49:00-04:00			128	On Passage: H R 527 To amend the Helium Act to complete the privatization of the Federal helium reserve in a competitive market fashion that ensures stability in the helium markets while protecting the interests of American taxpayers, and for other purposes		1/2	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll128.xml	To amend the Helium Act to complete the privatization of the Federal helium reserve in a competitive market fashion that ensures stability in the helium markets while protecting the interests of American taxpayers, and for other purposes	On Passage of the Bill	2014-06-18T11:22:02-04:00	h128-113.2013	4.472382019244907	0.09718311270416624
33					113.0	588.0		hr	passage-suspension	h	113	2013-05-06T18:56:00-04:00			129	On Motion to Suspend the Rules and Pass: H R 588 Vietnam Veterans Donor Acknowledgment Act		2/3	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll129.xml	Vietnam Veterans Donor Acknowledgment Act	On Motion to Suspend the Rules and Pass	2014-06-18T11:22:02-04:00	h129-113.2013	4.31726948439	-0.08201557764822637
35					113.0	291.0		hr	passage-suspension	h	113	2013-05-06T19:05:00-04:00			130	On Motion to Suspend the Rules and Pass: H R 291 Black Hills Cemetery Act		2/3	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll130.xml	Black Hills Cemetery Act	On Motion to Suspend the Rules and Pass	2014-06-18T11:22:01-04:00	h130-113.2013	4.305241008534863	-0.038823070452031365
36					113.0	507.0		hr	passage-suspension	h	113	2013-05-06T19:12:00-04:00			131	On Motion to Suspend the Rules and Pass: H R 507 Pascua Yaqui Tribe Trust Land Act		2/3	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll131.xml	Pascua Yaqui Tribe Trust Land Act	On Motion to Suspend the Rules and Pass	2014-06-18T11:22:01-04:00	h131-113.2013	4.312435070805799	-0.05050709160594974
37					113.0	198.0		hres	procedural	h	113	2013-05-07T14:35:00-04:00			132	On Ordering the Previous Question: H RES 198 Providing for consideration of H.R. 1406, the Working Families Flexibility Act		1/2	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll132.xml	Providing for consideration of H.R. 1406, the Working Families Flexibility Act	On Ordering the Previous Question	2014-06-18T11:22:01-04:00	h132-113.2013	-0.21070019509040128	3.175953255381649
38					113.0	198.0		hres	passage	h	113	2013-05-07T14:44:00-04:00			133	On Agreeing to the Resolution: H RES 198 Providing for consideration of H.R. 1406, the Working Families Flexibility Act		1/2	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll133.xml	Providing for consideration of H.R. 1406, the Working Families Flexibility Act	On the Resolution	2014-06-18T11:22:01-04:00	h133-113.2013	-0.46237812083284285	3.240768973548867
40	Gibson of New York Amendment	1.0		h-bill	113.0	1406.0		hr	amendment	h	113	2013-05-08T17:28:00-04:00			135	On Agreeing to the Amendment: Amendment 1 to H R 1406		1/2	Agreed to	Agreed to	2013	http://clerk.house.gov/evs/2013/roll135.xml		On the Amendment	2014-06-18T11:22:01-04:00	h135-113.2013	2.5390104743491135	0.394985192384951
41					113.0	1406.0		hr	recommit	h	113	2013-05-08T17:46:00-04:00			136	On Motion to Recommit with Instructions: H R 1406 To amend the Fair Labor Standards Act of 1938 to provide compensatory time for employees in the private sector		1/2	Failed	Failed	2013	http://clerk.house.gov/evs/2013/roll136.xml	To amend the Fair Labor Standards Act of 1938 to provide compensatory time for employees in the private sector	On the Motion to Recommit	2014-06-18T11:22:01-04:00	h136-113.2013	0.69161257123344	-3.1336525338613437
42					113.0	1406.0		hr	passage	h	113	2013-05-08T17:53:00-04:00			137	On Passage: H R 1406 To amend the Fair Labor Standards Act of 1938 to provide compensatory time for employees in the private sector		1/2	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll137.xml	To amend the Fair Labor Standards Act of 1938 to provide compensatory time for employees in the private sector	On Passage of the Bill	2014-06-18T11:22:01-04:00	h137-113.2013	-0.826240343698804	2.1674252613328413
43					113.0	202.0		hres	procedural	h	113	2013-05-08T18:00:00-04:00			138	On Ordering the Previous Question: H RES 202 Providing for consideration of the bill (H.R. 807) to require that the Government prioritize all obligations on the debt held by the public in the event that the debt limit is reached		1/2	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll138.xml	Providing for consideration of the bill (H.R. 807) to require that the Government prioritize all obligations on the debt held by the public in the event that the debt limit is reached	On Ordering the Previous Question	2014-06-18T11:22:01-04:00	h138-113.2013	-0.4495346291565171	3.2130648613241126
44					113.0	202.0		hres	passage	h	113	2013-05-08T18:12:00-04:00			139	On Agreeing to the Resolution: H RES 202 Providing for consideration of the bill (H.R. 807) to require that the Government prioritize all obligations on the debt held by the public in the event that the debt limit is reached		1/2	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll139.xml	Providing for consideration of the bill (H.R. 807) to require that the Government prioritize all obligations on the debt held by the public in the event that the debt limit is reached	On the Resolution	2014-06-18T11:22:01-04:00	h139-113.2013	-0.45155617058513936	3.20919224301013
45	Mulvaney of South Carolina Part B Amendment	2.0		h-bill	113.0	152.0		hr	amendment	h	113	2013-01-15T16:10:00-05:00			14	On Agreeing to the Amendment: Amendment 2 to H R 152		1/2	Failed	Failed	2013	http://clerk.house.gov/evs/2013/roll014.xml		On the Amendment	2014-06-18T11:22:23-04:00	h14-113.2013	-2.0077281047227977	1.2262845142282661
46	Camp of Michigan Amendment	1.0		h-bill	113.0	807.0		hr	amendment	h	113	2013-05-09T11:11:00-04:00			140	On Agreeing to the Amendment: Amendment 1 to H R 807		1/2	Agreed to	Agreed to	2013	http://clerk.house.gov/evs/2013/roll140.xml		On the Amendment	2014-06-18T11:22:01-04:00	h140-113.2013	3.2429438297735196	1.1439638975588011
47					113.0	807.0		hr	recommit	h	113	2013-05-09T11:32:00-04:00			141	On Motion to Recommit with Instructions: H R 807 To require that the Government prioritize all obligations on the debt held by the public in the event that the debt limit is reached		1/2	Failed	Failed	2013	http://clerk.house.gov/evs/2013/roll141.xml	To require that the Government prioritize all obligations on the debt held by the public in the event that the debt limit is reached	On the Motion to Recommit	2014-06-18T11:22:01-04:00	h141-113.2013	0.830502381408341	-2.9457264489831565
48					113.0	807.0		hr	passage	h	113	2013-05-09T11:39:00-04:00			142	On Passage: H R 807 To require that the Government prioritize all obligations on the debt held by the public in the event that the debt limit is reached		1/2	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll142.xml	To require that the Government prioritize all obligations on the debt held by the public in the event that the debt limit is reached	On Passage of the Bill	2014-06-18T11:22:01-04:00	h142-113.2013	-1.5293912722025509	2.5645596717590755
50					113.0	180.0		hr	passage-suspension	h	113	2013-05-14T18:52:00-04:00			144	On Motion to Suspend the Rules and Pass, as Amended: H R 180 National Blue Alert Act		2/3	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll144.xml	National Blue Alert Act	On Motion to Suspend the Rules and Pass, as Amended	2014-06-18T11:22:00-04:00	h144-113.2013	4.323015028177598	-0.0439653865476562
51					113.0	1580.0		hr	passage-suspension	h	113	2013-05-14T19:00:00-04:00			145	On Motion to Suspend the Rules and Pass: H R 1580 To affirm the policy of the United States regarding Internet governance		2/3	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll145.xml	To affirm the policy of the United States regarding Internet governance	On Motion to Suspend the Rules and Pass	2014-06-18T11:21:59-04:00	h145-113.2013	4.661347031025077	0.013875694596032783
52					113.0	10.0		sconres	passage-suspension	h	113	2013-05-14T19:07:00-04:00			146	On Motion to Suspend the Rules and Agree: S CON RES 10 Authorizing the use of Emancipation Hall in the Capitol Visitor Center for an event to celebrate the birthday of King Kamehameha		2/3	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll146.xml	Authorizing the use of Emancipation Hall in the Capitol Visitor Center for an event to celebrate the birthday of King Kamehameha	On Motion to Suspend the Rules and Agree	2014-06-18T11:21:59-04:00	h146-113.2013	4.670053888628078	0.01824044386696696
53					113.0	767.0		hr	passage-suspension	h	113	2013-05-15T17:29:00-04:00			147	On Motion to Suspend the Rules and Pass, as Amended: H R 767 To amend the Energy Policy Act of 2005 to modify the Pilot Project offices of the Federal Permit Streamlining Pilot Project		2/3	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll147.xml	To amend the Energy Policy Act of 2005 to modify the Pilot Project offices of the Federal Permit Streamlining Pilot Project	On Motion to Suspend the Rules and Pass, as Amended	2014-06-18T11:21:59-04:00	h147-113.2013	4.492017113974708	-0.008959243119867701
54					113.0	701.0		hr	passage-suspension	h	113	2013-05-15T17:46:00-04:00			148	On Motion to Suspend the Rules and Pass, as Amended: H R 701 To amend a provision of the Securities Act of 1933 directing the Securities and Exchange Commission to add a particular class of securities to those exempted under such Act to provide a deadline for such action		2/3	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll148.xml	To amend a provision of the Securities Act of 1933 directing the Securities and Exchange Commission to add a particular class of securities to those exempted under such Act to provide a deadline for such action	On Motion to Suspend the Rules and Pass, as Amended	2014-06-18T11:21:59-04:00	h148-113.2013	4.120250042075512	0.3365927527995801
55					113.0	384.0		hr	passage-suspension	h	113	2013-05-15T17:53:00-04:00			149	On Motion to Suspend the Rules and Pass, as Amended: H R 384 Home for Heroes Act		2/3	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll149.xml	Home for Heroes Act	On Motion to Suspend the Rules and Pass, as Amended	2014-06-18T11:21:59-04:00	h149-113.2013	4.237003672170857	-0.11395886945376156
56	Rogers of Kentucky Part A Substitute Amendment	1.0		h-bill	113.0	152.0		hr	amendment	h	113	2013-01-15T16:18:00-05:00			15	On Agreeing to the Amendment: Amendment 1 to H R 152		1/2	Agreed to	Agreed to	2013	http://clerk.house.gov/evs/2013/roll015.xml		On the Amendment	2014-06-18T11:22:23-04:00	h15-113.2013	3.3210533324720775	-1.174210226362698
57					113.0	215.0		hres	procedural	h	113	2013-05-16T14:30:00-04:00			150	On Ordering the Previous Question: H RES 215 Providing for consideration of the bill (H.R. 45) to repeal the Patient Protection and Affordable Care Act and health care-related provisions in the Health Care and Education Reconciliation Act of 2010		1/2	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll150.xml	Providing for consideration of the bill (H.R. 45) to repeal the Patient Protection and Affordable Care Act and health care-related provisions in the Health Care and Education Reconciliation Act of 2010	On Ordering the Previous Question	2014-06-18T11:21:59-04:00	h150-113.2013	-0.19584238707874102	3.1685935771561065
58					113.0	215.0		hres	passage	h	113	2013-05-16T14:40:00-04:00			151	On Agreeing to the Resolution: H RES 215 Providing for consideration of the bill (H.R. 45) to repeal the Patient Protection and Affordable Care Act and health care-related provisions in the Health Care and Education Reconciliation Act of 2010		1/2	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll151.xml	Providing for consideration of the bill (H.R. 45) to repeal the Patient Protection and Affordable Care Act and health care-related provisions in the Health Care and Education Reconciliation Act of 2010	On the Resolution	2014-06-18T11:21:59-04:00	h151-113.2013	0.023143085185242076	3.1192764553577663
60					113.0	45.0		hr	recommit	h	113	2013-05-16T18:18:00-04:00			153	On Motion to Recommit with Instructions: H R 45 To repeal the Patient Protection and Affordable Care Act and health care-related provisions in the Health Care and Education Reconciliation Act of 2010		1/2	Failed	Failed	2013	http://clerk.house.gov/evs/2013/roll153.xml	To repeal the Patient Protection and Affordable Care Act and health care-related provisions in the Health Care and Education Reconciliation Act of 2010	On the Motion to Recommit	2014-06-18T11:21:59-04:00	h153-113.2013	-0.4798022572191168	-2.851521666704425
61					113.0	45.0		hr	passage	h	113	2013-05-16T18:26:00-04:00			154	On Passage: H R 45 To repeal the Patient Protection and Affordable Care Act and health care-related provisions in the Health Care and Education Reconciliation Act of 2010		1/2	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll154.xml	To repeal the Patient Protection and Affordable Care Act and health care-related provisions in the Health Care and Education Reconciliation Act of 2010	On Passage of the Bill	2014-06-18T11:21:59-04:00	h154-113.2013	0.011736845013080833	3.118625886805086
62					113.0	216.0		hres	procedural	h	113	2013-05-17T10:47:00-04:00			155	On Ordering the Previous Question: H RES 216 Providing for consideration of H.R. 1062, the SEC Regulatory Accountability Act		1/2	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll155.xml	Providing for consideration of H.R. 1062, the SEC Regulatory Accountability Act	On Ordering the Previous Question	2014-06-18T11:21:59-04:00	h155-113.2013	-0.19939244771510212	3.059388995669364
63					113.0	216.0		hres	passage	h	113	2013-05-17T10:55:00-04:00			156	On Agreeing to the Resolution: H RES 216 Providing for consideration of H.R. 1062, the SEC Regulatory Accountability Act		1/2	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll156.xml	Providing for consideration of H.R. 1062, the SEC Regulatory Accountability Act	On the Resolution	2014-06-18T11:21:59-04:00	h156-113.2013	0.013184022567011873	2.8983541434468645
64	Hurt of Virginia Amendment No. 2	2.0		h-bill	113.0	1062.0		hr	amendment	h	113	2013-05-17T12:58:00-04:00			157	On Agreeing to the Amendment: Amendment 2 to H R 1062		1/2	Agreed to	Agreed to	2013	http://clerk.house.gov/evs/2013/roll157.xml		On the Amendment	2014-06-18T11:21:59-04:00	h157-113.2013	1.5037843921728316	2.338036463093062
65	Carolyn Maloney of New York Amendment No. 3	3.0		h-bill	113.0	1062.0		hr	amendment	h	113	2013-05-17T13:05:00-04:00			158	On Agreeing to the Amendment: Amendment 3 to H R 1062		1/2	Failed	Failed	2013	http://clerk.house.gov/evs/2013/roll158.xml		On the Amendment	2014-06-18T11:21:58-04:00	h158-113.2013	-1.224691305690206	-2.044898915662455
66					113.0	1062.0		hr	recommit	h	113	2013-05-17T13:22:00-04:00			159	On Motion to Recommit with Instructions: H R 1062 To improve the consideration by the Securities and Exchange Commission of the costs and benefits of its regulations and orders		1/2	Failed	Failed	2013	http://clerk.house.gov/evs/2013/roll159.xml	To improve the consideration by the Securities and Exchange Commission of the costs and benefits of its regulations and orders	On the Motion to Recommit	2014-06-18T11:21:58-04:00	h159-113.2013	0.4152071339810494	-3.042516948341807
67	Flores of Texas Part C Amdt. No. 2 to Frelinghuysen of New Jersey Amdt.	4.0		h-bill	113.0	152.0		hr	amendment	h	113	2013-01-15T18:39:00-05:00			16	On Agreeing to the Amendment: Amendment 4 to H R 152		1/2	Agreed to	Agreed to	2013	http://clerk.house.gov/evs/2013/roll016.xml		On the Amendment	2014-06-18T11:22:23-04:00	h16-113.2013	-0.5140384780487769	1.601567208980886
